condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index
control,0.3,16,control_p0.3_r16,1798678375,2124831127,2026073104,0
control,0.3,17,control_p0.3_r17,2238462622,2715183110,2026073104,0
control,0.3,18,control_p0.3_r18,3935396350,1181869195,2026073104,0
control,0.3,19,control_p0.3_r19,1955962194,181331491,2026073104,0
control,0.4,0,control_p0.4_r00,3017390715,198033949,2026073104,0
control,0.4,1,control_p0.4_r01,1622385866,382344920,2026073104,0
control,0.4,2,control_p0.4_r02,3119307372,3712056061,2026073104,0
control,0.4,3,control_p0.4_r03,899692153,934024532,2026073104,0
control,0.4,4,control_p0.4_r04,1059363060,4125238479,2026073104,0
control,0.4,5,control_p0.4_r05,3871365774,1666170271,2026073104,0
control,0.4,6,control_p0.4_r06,783897833,4236525983,2026073104,0
control,0.4,7,control_p0.4_r07,1554955735,1344687990,2026073104,0
control,0.4,8,control_p0.4_r08,1754908860,1781044116,2026073104,0
control,0.4,9,control_p0.4_r09,3454482529,4136244177,2026073104,0
control,0.4,10,control_p0.4_r10,735484897,1222119289,2026073104,0
control,0.4,11,control_p0.4_r11,136632942,912267347,2026073104,0
control,0.4,12,control_p0.4_r12,1992858066,2656806842,2026073104,0
control,0.4,13,control_p0.4_r13,1544419436,3162380181,2026073104,0
control,0.4,14,control_p0.4_r14,851961329,3995975030,2026073104,0
control,0.4,15,control_p0.4_r15,575095841,3423971266,2026073104,0
control,0.4,16,control_p0.4_r16,1083467681,2430092324,2026073104,0
control,0.4,17,control_p0.4_r17,3614494578,3530098213,2026073104,0
control,0.4,18,control_p0.4_r18,361922507,2269555840,2026073104,0
control,0.4,19,control_p0.4_r19,490105579,3365191978,2026073104,0
control,0.5,0,control_p0.5_r00,602056551,1315912640,2026073104,0
control,0.5,1,control_p0.5_r01,2793279644,3808656977,2026073104,0
control,0.5,2,control_p0.5_r02,4138925165,1205672812,2026073104,0
control,0.5,3,control_p0.5_r03,4108894691,528941139,2026073104,0
control,0.5,4,control_p0.5_r04,2390998545,505647603,2026073104,0
control,0.5,5,control_p0.5_r05,278328939,2244378004,2026073104,0
control,0.5,6,control_p0.5_r06,2482789736,4157847903,2026073104,0
control,0.5,7,control_p0.5_r07,4063082322,3336460296,2026073104,0
control,0.5,8,control_p0.5_r08,1893769741,4047745923,2026073104,0
control,0.5,9,control_p0.5_r09,492260989,3526692702,2026073104,0
control,0.5,10,control_p0.5_r10,651940859,2976774644,2026073104,0
control,0.5,11,control_p0.5_r11,2485339510,1129512662,2026073104,0
control,0.5,12,control_p0.5_r12,3275316935,2106015775,2026073104,0
control,0.5,13,control_p0.5_r13,2847548159,2160581306,2026073104,0
control,0.5,14,control_p0.5_r14,915076030,2993990846,2026073104,0
control,0.5,15,control_p0.5_r15,3061202138,1516940021,2026073104,0
control,0.5,16,control_p0.5_r16,1731401483,3998167140,2026073104,0
control,0.5,17,control_p0.5_r17,3010237040,1262505198,2026073104,0
control,0.5,18,control_p0.5_r18,216135605,2991692243,2026073104,0
control,0.5,19,control_p0.5_r19,3446865642,4004536395,2026073104,0
control,0.6,0,control_p0.6_r00,3618291077,858363473,2026073104,0
control,0.6,1,control_p0.6_r01,1678993919,1369837879,2026073104,0
control,0.6,2,control_p0.6_r02,3941646501,1223826282,2026073104,0
control,0.6,3,control_p0.6_r03,1898844321,3349152012,2026073104,0
control,0.6,4,control_p0.6_r04,2048568984,3720452613,2026073104,0
control,0.6,5,control_p0.6_r05,2123566627,2611502002,2026073104,0
control,0.6,6,control_p0.6_r06,2882565626,3812007976,2026073104,0
control,0.6,7,control_p0.6_r07,2276641161,200426137,2026073104,0
control,0.6,8,control_p0.6_r08,562926893,3200404688,2026073104,0
control,0.6,9,control_p0.6_r09,3080644917,1529053324,2026073104,0
control,0.6,10,control_p0.6_r10,789376535,1936023507,2026073104,0
control,0.6,11,control_p0.6_r11,691079081,3559286830,2026073104,0
control,0.6,12,control_p0.6_r12,2307152739,3024292233,2026073104,0
control,0.6,13,control_p0.6_r13,818315883,3942399926,2026073104,0
control,0.6,14,control_p0.6_r14,445403607,2709840875,2026073104,0
control,0.6,15,control_p0.6_r15,1713809039,3741371586,2026073104,0
control,0.6,16,control_p0.6_r16,2613123428,268052707,2026073104,0
control,0.6,17,control_p0.6_r17,4096111621,165261634,2026073104,0
control,0.6,18,control_p0.6_r18,3225458171,3986950126,2026073104,0
control,0.6,19,control_p0.6_r19,1929940855,2777547611,2026073104,0
control,0.7,0,control_p0.7_r00,1742952127,2184304139,2026073104,0
control,0.7,1,control_p0.7_r01,2982212029,1284302408,2026073104,0
control,0.7,2,control_p0.7_r02,3194573016,1454805042,2026073104,0
control,0.7,3,control_p0.7_r03,1571157177,346294526,2026073104,0
control,0.7,4,control_p0.7_r04,3723460104,791024550,2026073104,0
control,0.7,5,control_p0.7_r05,519855623,4105396311,2026073104,0
control,0.7,6,control_p0.7_r06,3989855636,2695630940,2026073104,0
control,0.7,7,control_p0.7_r07,2166863087,771112773,2026073104,0
control,0.7,8,control_p0.7_r08,2288487468,603217869,2026073104,0
control,0.7,9,control_p0.7_r09,2474237369,1339553950,2026073104,0
control,0.7,10,control_p0.7_r10,628080611,3812233866,2026073104,0
control,0.7,11,control_p0.7_r11,2391120781,421001018,2026073104,0
control,0.7,12,control_p0.7_r12,1701431295,1209575193,2026073104,0
control,0.7,13,control_p0.7_r13,3119881695,435970338,2026073104,0
control,0.7,14,control_p0.7_r14,3332569009,149200840,2026073104,0
control,0.7,15,control_p0.7_r15,2341237257,4060276247,2026073104,0
control,0.7,16,control_p0.7_r16,2395725026,666815070,2026073104,0
control,0.7,17,control_p0.7_r17,1090693834,1182650765,2026073104,0
control,0.7,18,control_p0.7_r18,3546494069,521192787,2026073104,0
control,0.7,19,control_p0.7_r19,3598236820,3386191563,2026073104,0
control,0.8,0,control_p0.8_r00,2181004317,1349597951,2026073104,0
control,0.8,1,control_p0.8_r01,1139065349,357349681,2026073104,0
control,0.8,2,control_p0.8_r02,3393826305,718469831,2026073104,0
control,0.8,3,control_p0.8_r03,3152041068,2263037322,2026073104,0
control,0.8,4,control_p0.8_r04,2455289929,2793282665,2026073104,0
control,0.8,5,control_p0.8_r05,2746772290,751203758,2026073104,0
control,0.8,6,control_p0.8_r06,259258397,664568763,2026073104,0
control,0.8,7,control_p0.8_r07,575092919,115265280,2026073104,0
control,0.8,8,control_p0.8_r08,1083574650,591203281,2026073104,0
control,0.8,9,control_p0.8_r09,3394910927,344300329,2026073104,0
control,0.8,10,control_p0.8_r10,1593808494,3897856204,2026073104,0
control,0.8,11,control_p0.8_r11,381487154,2117693653,2026073104,0
control,0.8,12,control_p0.8_r12,535468972,3614683168,2026073104,0
control,0.8,13,control_p0.8_r13,667228268,1333577715,2026073104,0
control,0.8,14,control_p0.8_r14,1742350564,2096751227,2026073104,0
control,0.8,15,control_p0.8_r15,1511808806,1413260310,2026073104,0
control,0.8,16,control_p0.8_r16,175587956,1627177007,2026073104,0
control,0.8,17,control_p0.8_r17,3891993430,2942892661,2026073104,0
control,0.8,18,control_p0.8_r18,1971247988,1871565443,2026073104,0
control,0.8,19,control_p0.8_r19,1175326144,4281511616,2026073104,0
control,0.9,0,control_p0.9_r00,1012495733,1157818968,2026073104,0
control,0.9,1,control_p0.9_r01,2999621308,209847993,2026073104,0
control,0.9,2,control_p0.9_r02,2400731145,2756801446,2026073104,0
control,0.9,3,control_p0.9_r03,3672670023,1382106046,2026073104,0
control,0.9,4,control_p0.9_r04,4239309068,1990649136,2026073104,0
control,0.9,5,control_p0.9_r05,2329578853,3247641925,2026073104,0
control,0.9,6,control_p0.9_r06,3694585140,3675065898,2026073104,0
control,0.9,7,control_p0.9_r07,2972606565,2944579672,2026073104,0
control,0.9,8,control_p0.9_r08,2882635599,1208647143,2026073104,0
control,0.9,9,control_p0.9_r09,1021638250,2924911504,2026073104,0
control,0.9,10,control_p0.9_r10,4121379877,1108800039,2026073104,0
control,0.9,11,control_p0.9_r11,3052817982,1611939026,2026073104,0
control,0.9,12,control_p0.9_r12,805468924,1531774980,2026073104,0
control,0.9,13,control_p0.9_r13,130380487,780899652,2026073104,0
control,0.9,14,control_p0.9_r14,970734302,914628714,2026073104,0
control,0.9,15,control_p0.9_r15,1744178754,1595947045,2026073104,0
control,0.9,16,control_p0.9_r16,3071390907,2628867148,2026073104,0
control,0.9,17,control_p0.9_r17,901166602,1853607228,2026073104,0
control,0.9,18,control_p0.9_r18,2769853347,3245016496,2026073104,0
control,0.9,19,control_p0.9_r19,727502288,2232919635,2026073104,0
control,1.0,0,control_p1.0_r00,959377117,2469719452,2026073104,0
control,1.0,1,control_p1.0_r01,2117617387,711101408,2026073104,0
control,1.0,2,control_p1.0_r02,1818475040,797882791,2026073104,0
control,1.0,3,control_p1.0_r03,2288087449,1363363211,2026073104,0
control,1.0,4,control_p1.0_r04,394027963,713538434,2026073104,0
control,1.0,5,control_p1.0_r05,2142203076,2174953973,2026073104,0
control,1.0,6,control_p1.0_r06,1112701378,566072227,2026073104,0
control,1.0,7,control_p1.0_r07,3106617477,955981085,2026073104,0
control,1.0,8,control_p1.0_r08,4082975458,1581876379,2026073104,0
control,1.0,9,control_p1.0_r09,3205830532,2355626486,2026073104,0
control,1.0,10,control_p1.0_r10,2193894637,574847938,2026073104,0
control,1.0,11,control_p1.0_r11,3660651808,1481046494,2026073104,0
control,1.0,12,control_p1.0_r12,3798660777,904378782,2026073104,0
control,1.0,13,control_p1.0_r13,2591299117,2094013244,2026073104,0
control,1.0,14,control_p1.0_r14,1362698752,2578603654,2026073104,0
control,1.0,15,control_p1.0_r15,4238633799,3417636559,2026073104,0
control,1.0,16,control_p1.0_r16,2379778161,1797745728,2026073104,0
control,1.0,17,control_p1.0_r17,2533893282,1006998721,2026073104,0
control,1.0,18,control_p1.0_r18,2795287190,1927084364,2026073104,0
control,1.0,19,control_p1.0_r19,2366409137,2303651031,2026073104,0
selective,0.1,0,selective_p0.1_r00,949835833,2150844500,2026073104,0
selective,0.1,1,selective_p0.1_r01,4290679942,3802174986,2026073104,0
selective,0.1,2,selective_p0.1_r02,3542320773,3526174368,2026073104,0
selective,0.1,3,selective_p0.1_r03,1519649550,4054822947,2026073104,0
selective,0.1,4,selective_p0.1_r04,4055852782,3465634599,2026073104,0
selective,0.1,5,selective_p0.1_r05,421585253,1647568193,2026073104,0
selective,0.1,6,selective_p0.1_r06,2650818629,900047796,2026073104,0
selective,0.1,7,selective_p0.1_r07,2357420912,870516562,2026073104,0
selective,0.1,8,selective_p0.1_r08,2513491709,3759395584,2026073104,0
selective,0.1,9,selective_p0.1_r09,4168093450,3876905498,2026073104,0
selective,0.1,10,selective_p0.1_r10,942789103,4255187602,2026073104,0
selective,0.1,11,selective_p0.1_r11,3225707201,3163834734,2026073104,0
selective,0.1,12,selective_p0.1_r12,3903337858,126091524,2026073104,0
selective,0.1,13,selective_p0.1_r13,3159923039,2697792151,2026073104,0
selective,0.1,14,selective_p0.1_r14,375945506,1273978344,2026073104,0
selective,0.1,15,selective_p0.1_r15,1264613916,1770584513,2026073104,0
selective,0.1,16,selective_p0.1_r16,3641394361,1461189033,2026073104,0
selective,0.1,17,selective_p0.1_r17,4225754583,3606747390,2026073104,0
selective,0.1,18,selective_p0.1_r18,1599731009,3091956390,2026073104,0
selective,0.1,19,selective_p0.1_r19,3100412923,4085889290,2026073104,0
selective,0.2,0,selective_p0.2_r00,3875674752,3860117743,2026073104,0
selective,0.2,1,selective_p0.2_r01,1150411212,4212731695,2026073104,0
selective,0.2,2,selective_p0.2_r02,1099928176,3945309265,2026073104,0
selective,0.2,3,selective_p0.2_r03,352840988,3337344386,2026073104,0
selective,0.2,4,selective_p0.2_r04,3000604290,1568747535,2026073104,0
selective,0.2,5,selective_p0.2_r05,630753853,43363302,2026073104,0
selective,0.2,6,selective_p0.2_r06,2138752123,3178197134,2026073104,0
selective,0.2,7,selective_p0.2_r07,53282011,4019477844,2026073104,0
selective,0.2,8,selective_p0.2_r08,2964839991,612525895,2026073104,0
selective,0.2,9,selective_p0.2_r09,3138835340,2338011706,2026073104,0
selective,0.2,10,selective_p0.2_r10,1728988054,3199614704,2026073104,0
selective,0.2,11,selective_p0.2_r11,450446759,212585126,2026073104,0
selective,0.2,12,selective_p0.2_r12,381871471,2130923070,2026073104,0
selective,0.2,13,selective_p0.2_r13,3806385221,24142575,2026073104,0
selective,0.2,14,selective_p0.2_r14,3545540387,2603517872,2026073104,0
selective,0.2,15,selective_p0.2_r15,3940973232,2228605050,2026073104,0
selective,0.2,16,selective_p0.2_r16,3388784946,3047591138,2026073104,0
selective,0.2,17,selective_p0.2_r17,1762829727,1540146262,2026073104,0
selective,0.2,18,selective_p0.2_r18,4118241034,2042574718,2026073104,0
selective,0.2,19,selective_p0.2_r19,1204229347,239732101,2026073104,0
selective,0.3,0,selective_p0.3_r00,106181544,2657440799,2026073104,0
selective,0.3,1,selective_p0.3_r01,2363767509,2994570760,2026073104,0
selective,0.3,2,selective_p0.3_r02,833922145,924291688,2026073104,0
selective,0.3,3,selective_p0.3_r03,3253866422,2358112587,2026073104,0
selective,0.3,4,selective_p0.3_r04,332359786,2170776775,2026073104,0
selective,0.3,5,selective_p0.3_r05,446664154,4220750099,2026073104,0
selective,0.3,6,selective_p0.3_r06,1390048084,359567217,2026073104,0
selective,0.3,7,selective_p0.3_r07,2598548877,4079962790,2026073104,0
selective,0.3,8,selective_p0.3_r08,1332021290,2056107644,2026073104,0
selective,0.3,9,selective_p0.3_r09,2847025026,3971747508,2026073104,0
selective,0.3,10,selective_p0.3_r10,535741539,2390307414,2026073104,0
selective,0.3,11,selective_p0.3_r11,187023920,3234561246,2026073104,0
selective,0.3,12,selective_p0.3_r12,3501425203,4233630574,2026073104,0
selective,0.3,13,selective_p0.3_r13,4054680595,3457233252,2026073104,0
selective,0.3,14,selective_p0.3_r14,1154924081,4051125829,2026073104,0
selective,0.3,15,selective_p0.3_r15,2470348985,620469023,2026073104,0
selective,0.3,16,selective_p0.3_r16,37688192,3059110934,2026073104,0
selective,0.3,17,selective_p0.3_r17,428218596,2275756178,2026073104,0
selective,0.3,18,selective_p0.3_r18,261724306,89057039,2026073104,0
selective,0.3,19,selective_p0.3_r19,3015454054,2652125534,2026073104,0
selective,0.4,0,selective_p0.4_r00,960640219,2717139623,2026073104,0
selective,0.4,1,selective_p0.4_r01,1306171644,4146880025,2026073104,0
selective,0.4,2,selective_p0.4_r02,2613307729,1548050209,2026073104,0
selective,0.4,3,selective_p0.4_r03,4068794989,1263181898,2026073104,0
selective,0.4,4,selective_p0.4_r04,2918744082,2378827696,2026073104,0
selective,0.4,5,selective_p0.4_r05,1663210252,1074610584,2026073104,0
selective,0.4,6,selective_p0.4_r06,3980776686,450650721,2026073104,0
selective,0.4,7,selective_p0.4_r07,1518156452,3949488729,2026073104,0
selective,0.4,8,selective_p0.4_r08,631283794,27764477,2026073104,0
selective,0.4,9,selective_p0.4_r09,4020151054,3921448355,2026073104,0
selective,0.4,10,selective_p0.4_r10,1104511981,1091593923,2026073104,0
selective,0.4,11,selective_p0.4_r11,1532320848,2609247268,2026073104,0
selective,0.4,12,selective_p0.4_r12,1885949846,1759933480,2026073104,0
selective,0.4,13,selective_p0.4_r13,2848982264,3990283885,2026073104,0
selective,0.4,14,selective_p0.4_r14,2316654259,2199534890,2026073104,0
selective,0.4,15,selective_p0.4_r15,4193058476,1521996277,2026073104,0
selective,0.4,16,selective_p0.4_r16,4104918231,1188792019,2026073104,0
selective,0.4,17,selective_p0.4_r17,628564068,872340124,2026073104,0
selective,0.4,18,selective_p0.4_r18,3816547131,3937022552,2026073104,0
selective,0.4,19,selective_p0.4_r19,796297319,1235792651,2026073104,0
selective,0.5,0,selective_p0.5_r00,1294693757,2072973190,2026073104,0
selective,0.5,1,selective_p0.5_r01,2590340947,171437891,2026073104,0
selective,0.5,2,selective_p0.5_r02,3417866185,3837484959,2026073104,0
selective,0.5,3,selective_p0.5_r03,3406614304,2164117940,2026073104,0
selective,0.5,4,selective_p0.5_r04,2143473145,256305306,2026073104,0
selective,0.5,5,selective_p0.5_r05,49709399,3393017231,2026073104,0
selective,0.5,6,selective_p0.5_r06,3706330676,2897221774,2026073104,0
selective,0.5,7,selective_p0.5_r07,2635005778,4202747425,2026073104,0
selective,0.5,8,selective_p0.5_r08,1340055432,408185187,2026073104,0
selective,0.5,9,selective_p0.5_r09,1157378776,4216882189,2026073104,0
selective,0.5,10,selective_p0.5_r10,1924963724,219631040,2026073104,0
selective,0.5,11,selective_p0.5_r11,1678311604,988045453,2026073104,0
selective,0.5,12,selective_p0.5_r12,159872924,1156353795,2026073104,0
selective,0.5,13,selective_p0.5_r13,2084348248,1576649781,2026073104,0
selective,0.5,14,selective_p0.5_r14,1848510684,2871298116,2026073104,0
selective,0.5,15,selective_p0.5_r15,587524571,2252857905,2026073104,0
selective,0.5,16,selective_p0.5_r16,1830192580,598308874,2026073104,0
selective,0.5,17,selective_p0.5_r17,378689992,3639215481,2026073104,0
selective,0.5,18,selective_p0.5_r18,1313889806,1188929748,2026073104,0
selective,0.5,19,selective_p0.5_r19,408748861,2529602951,2026073104,0
selective,0.6,0,selective_p0.6_r00,2681073971,3358349183,2026073104,0
selective,0.6,1,selective_p0.6_r01,2083202240,3098744135,2026073104,0
selective,0.6,2,selective_p0.6_r02,1167562904,2166694885,2026073104,0
selective,0.6,3,selective_p0.6_r03,1444417037,658999638,2026073104,0
selective,0.6,4,selective_p0.6_r04,878857995,1858226296,2026073104,0
selective,0.6,5,selective_p0.6_r05,311250555,424626393,2026073104,0
selective,0.6,6,selective_p0.6_r06,3219409585,2999044317,2026073104,0
selective,0.6,7,selective_p0.6_r07,336816534,856028966,2026073104,0
selective,0.6,8,selective_p0.6_r08,1519463397,2361215918,2026073104,0
selective,0.6,9,selective_p0.6_r09,2074710107,2761027988,2026073104,0
selective,0.6,10,selective_p0.6_r10,73737211,3324587068,2026073104,0
selective,0.6,11,selective_p0.6_r11,222627428,48920608,2026073104,0
selective,0.6,12,selective_p0.6_r12,662145635,4165153303,2026073104,0
selective,0.6,13,selective_p0.6_r13,2755202054,1284197125,2026073104,0
selective,0.6,14,selective_p0.6_r14,1193940910,3994714836,2026073104,0
selective,0.6,15,selective_p0.6_r15,1655598461,941074599,2026073104,0
selective,0.6,16,selective_p0.6_r16,451608702,2811677931,2026073104,0
selective,0.6,17,selective_p0.6_r17,73923807,1685700569,2026073104,0
selective,0.6,18,selective_p0.6_r18,4172861108,3589806377,2026073104,0
selective,0.6,19,selective_p0.6_r19,991461902,286240186,2026073104,0
selective,0.7,0,selective_p0.7_r00,4247985912,2953312241,2026073104,0
selective,0.7,1,selective_p0.7_r01,1941251016,952835996,2026073104,0
selective,0.7,2,selective_p0.7_r02,3293912166,3107392368,2026073104,0
selective,0.7,3,selective_p0.7_r03,3757247798,67509544,2026073104,0
selective,0.7,4,selective_p0.7_r04,2088064876,2515779952,2026073104,0
selective,0.7,5,selective_p0.7_r05,413604505,1176536738,2026073104,0
selective,0.7,6,selective_p0.7_r06,4103535332,844622669,2026073104,0
selective,0.7,7,selective_p0.7_r07,2061123705,39868355,2026073104,0
selective,0.7,8,selective_p0.7_r08,1802184969,1615156721,2026073104,0
selective,0.7,9,selective_p0.7_r09,62003151,993314886,2026073104,0
selective,0.7,10,selective_p0.7_r10,3361805254,2507305660,2026073104,0
selective,0.7,11,selective_p0.7_r11,1489838239,1210066913,2026073104,0
selective,0.7,12,selective_p0.7_r12,922912099,38321746,2026073104,0
selective,0.7,13,selective_p0.7_r13,2140235026,1273410531,2026073104,0
selective,0.7,14,selective_p0.7_r14,4038928639,931625102,2026073104,0
selective,0.7,15,selective_p0.7_r15,994609103,3734543178,2026073104,0
selective,0.7,16,selective_p0.7_r16,2916613536,3789803474,2026073104,0
selective,0.7,17,selective_p0.7_r17,849723960,850306743,2026073104,0
selective,0.7,18,selective_p0.7_r18,2072242197,3263366006,2026073104,0
selective,0.7,19,selective_p0.7_r19,396543672,551072389,2026073104,0
selective,0.8,0,selective_p0.8_r00,1304797858,2544033439,2026073104,0
selective,0.8,1,selective_p0.8_r01,1627831235,3968626583,2026073104,0
selective,0.8,2,selective_p0.8_r02,244757641,4138873100,2026073104,0
selective,0.8,3,selective_p0.8_r03,2263978145,1989709146,2026073104,0
selective,0.8,4,selective_p0.8_r04,3597482433,4183853816,2026073104,0
selective,0.8,5,selective_p0.8_r05,1354326022,2336218301,2026073104,0
selective,0.8,6,selective_p0.8_r06,3284771795,2592848654,2026073104,0
selective,0.8,7,selective_p0.8_r07,355286998,2627453037,2026073104,0
selective,0.8,8,selective_p0.8_r08,3713295173,1994234857,2026073104,0
selective,0.8,9,selective_p0.8_r09,3312620478,2761969080,2026073104,0
selective,0.8,10,selective_p0.8_r10,2276814929,1802555616,2026073104,0
selective,0.8,11,selective_p0.8_r11,2989771277,4118814353,2026073104,0
selective,0.8,12,selective_p0.8_r12,1935911526,3765099656,2026073104,0
selective,0.8,13,selective_p0.8_r13,461964484,567080463,2026073104,0
selective,0.8,14,selective_p0.8_r14,3008949029,4097591368,2026073104,0
selective,0.8,15,selective_p0.8_r15,1639595617,2968306437,2026073104,0
selective,0.8,16,selective_p0.8_r16,3769582935,1431692759,2026073104,0
selective,0.8,17,selective_p0.8_r17,3910878291,1802153753,2026073104,0
selective,0.8,18,selective_p0.8_r18,602106289,3147532244,2026073104,0
selective,0.8,19,selective_p0.8_r19,4220595213,3526188349,2026073104,0
selective,0.9,0,selective_p0.9_r00,3121176259,368920805,2026073104,0
selective,0.9,1,selective_p0.9_r01,3918140647,100062900,2026073104,0
selective,0.9,2,selective_p0.9_r02,4226271923,10640164,2026073104,0
selective,0.9,3,selective_p0.9_r03,1782658569,3279121115,2026073104,0
selective,0.9,4,selective_p0.9_r04,1841608718,117727008,2026073104,0
selective,0.9,5,selective_p0.9_r05,3264466767,2359573695,2026073104,0
selective,0.9,6,selective_p0.9_r06,1446514981,828893740,2026073104,0
selective,0.9,7,selective_p0.9_r07,2619379748,2384623833,2026073104,0
selective,0.9,8,selective_p0.9_r08,2346996660,1161691399,2026073104,0
selective,0.9,9,selective_p0.9_r09,3572653432,2710709278,2026073104,0
selective,0.9,10,selective_p0.9_r10,3878443529,1273192560,2026073104,0
selective,0.9,11,selective_p0.9_r11,2841846734,2488458031,2026073104,0
selective,0.9,12,selective_p0.9_r12,4118149899,2627987902,2026073104,0
selective,0.9,13,selective_p0.9_r13,1469909955,4128128792,2026073104,0
selective,0.9,14,selective_p0.9_r14,1014095401,2843694525,2026073104,0
selective,0.9,15,selective_p0.9_r15,933655884,1601747705,2026073104,0
selective,0.9,16,selective_p0.9_r16,1267858508,1669316909,2026073104,0
selective,0.9,17,selective_p0.9_r17,4051232197,2055376679,2026073104,0
selective,0.9,18,selective_p0.9_r18,9966927,2478269561,2026073104,0
selective,0.9,19,selective_p0.9_r19,1296038405,2910753636,2026073104,0
selective,1.0,0,selective_p1.0_r00,656706454,3904205151,2026073104,0
selective,1.0,1,selective_p1.0_r01,3018258810,589515778,2026073104,0
selective,1.0,2,selective_p1.0_r02,2919610871,2552538163,2026073104,0
selective,1.0,3,selective_p1.0_r03,3469356913,3592936569,2026073104,0
selective,1.0,4,selective_p1.0_r04,3960817352,2556421397,2026073104,0
selective,1.0,5,selective_p1.0_r05,945259839,2714718833,2026073104,0
selective,1.0,6,selective_p1.0_r06,3071430991,2846728584,2026073104,0
selective,1.0,7,selective_p1.0_r07,2455995385,3458510298,2026073104,0
selective,1.0,8,selective_p1.0_r08,1341420624,3954795205,2026073104,0
selective,1.0,9,selective_p1.0_r09,3358061273,2825561690,2026073104,0
selective,1.0,10,selective_p1.0_r10,226276626,3092717657,2026073104,0
