path,size_bytes,sha256
PHASE_06_HANDOFF.md,6371,fcd972fb9d615728b387f092159ba94b249bac21cdbb960e49153fcacb951f40
PHASE_06_PACKAGE_MANIFEST.md,2618,6f51bb049f65baf842d32d81060749e135ab38ac1e84e8750ab553324ba37523
PHASE_06_PLAN.md,4870,b46f7eaa7eaab85594e5623c5ed98874fb944ef505db4353a10bfea7a571d207
PHASE_07_ENVIRONMENT.md,727,19d4aeac33f627d726ea249c3b88c4f574a2ee25b1370ce11a98487c27f68b64
PHASE_07_HANDOFF.md,4290,fc0a0d8c470213a21a43791ce59ab877c906ee815e45cb660cf0d3b4ab50b144
PHASE_07_PACKAGE_MANIFEST.md,3051,944856325745918d37c7d5aa49124f2403677781cb82ef37f4e3dcb4441ede97
PHASE_07_PLAN.md,4475,bb1b5eeec1bf918dc21d04ae6929b17c63b3ad6d69ae53227f3dce077df8e817
PUBLIC_RELEASE_CHECKLIST.md,2224,130c8206ed50c50227c8896f5b786bfaa6c1c85502742f46d556d0d319b71f40
README.md,5608,f857002b0b37cc96650e50d072abdf4de4bd82380b144716824ca68f5b321f10
RELEASE_NOTES_DRAFT.md,3041,77ade6f94ca2201c516dc11f981347ef06ff45fe9f6059ec5e30e6d5101b82a0
RELEASE_PROVENANCE.md,4367,31573d7d41d32f552838131cfa488df406dcae301a7e10e40c45b47a27a97f92
RESULT_FREEZE.md,6856,f65fdce127eaae8d3385601571c28c3c48af32af1e1a3ebb941bc4444383de69
STATISTICAL_PIPELINE_VALIDATION.md,10994,e57741fb5b56d79c922b9453b02a341ad73a229e5aaac7ce7bf670365e7ea037
TEST_RESULTS_PHASE3.txt,936,58482e9db63d260481a00c0e01a61b1be785cefcdaa710b546078ea2b6231f74
TEST_RESULTS_PHASE4.txt,100,7920e476334f6c9f8e7f527f65398dc516bf94c8a91896f46c64b3f4d22fb234
TEST_RESULTS_PHASE5.txt,100,25512e004547866d51387e89b99ecf206900dedfaf806a3d9bcb91bd4b68fe0e
TEST_RESULTS_PHASE6.txt,1433,7542b3ff212d9c0afe1521d0b876be509c416ccb5dbd174cf933108ffd91d1cb
TEST_RESULTS_PHASE7.txt,100,7e7ac77dc8ba1dda7045f3f69dbee533b2930a9957cc69306bc2028a1c861a10
VALIDATION_PHASE3.md,794,3a4e9ca3470b95c158c5dfd66bcf322f3c91cbf0f954f65f6bc4f8d2da68b735
VALIDATION_PHASE4.md,5292,488f26ec92c8d31566252d2b5330ae323a502999a013740974b2a736c1ce1472
VALIDATION_PHASE5.md,4160,c09dc04d68e8661b522b4694712c776f18f43c884fa5a120aed9ddd446b981ab
VALIDATION_PHASE6.md,3674,d84b7cdb08649dc03001e82f8f908fb26653a0103a41e3a8df26675dfd67382c
VALIDATION_RESULT_FREEZE.md,1507,0de033ecb324b8445e1f1057e5f9068979497a63d19d96fff4235e9510f470f2
artwork/ARTWORK_MANIFEST_SHA256.csv,1414,3538527842f29b5a3048df75a9c46ae4889e6142a1626898b01c5ac80bc2f7b0
artwork/ARTWORK_VALIDATION.md,4128,8a0cb5fd45006c2edb441d00fdca3ce023ddfd9054002b182f04bc7a0adcc72a
artwork/EDITABLE_VECTOR_ARTWORK_HANDOFF.md,16289,a61be331a0ea9d567d11e8d0fd58eca8de00f23a0727aae6cae35b8776fc637b
artwork/README.md,907,46bce9ab9e2c34f134351eebb3b67981f5ad51592de8c51026ee8d492f51cef9
artwork/exports/Figure_1.eps,1354579,10b123fa71403641f3681e852e842b43991aa8abcd1c53ba0eef2b0ce3c5fa57
artwork/exports/Figure_1.pdf,434029,4140e53038adb6052807ca45b2a4e44f46eb1b2f9369b6c2e7d0a0856437e46f
artwork/exports/Figure_1_600dpi_grayscale.png,530407,75db4a555bd1f62282624af00063782f55fad061f9b181c884be3bed0205fe00
artwork/exports/Figure_1_600dpi_grayscale.tiff,701800,362ecbb72057a1e3094368f58caaadd91f714119e5551d58a38a897ec6849f93
artwork/exports/Figure_2.eps,971388,a4a0caf5f86ee25c0e01f708635b7bc2fa70955f9c0edb7ceacebab36f7ca636
artwork/exports/Figure_2.pdf,316927,8c1e185319fa84ce072fba0c32e0b0087e8154527d9845a275312f63e85d27d9
artwork/exports/Figure_2_600dpi_grayscale.png,434638,87f688d916ce445e872d57c61ee305b2d3c4dd5cd62c64e1cb6ce9a70de3a2b4
artwork/exports/Figure_2_600dpi_grayscale.tiff,595494,e3c111d060bbd54796043f5a190c0e698928069bd4ebf29c5bf53cf63d6bf7b2
artwork/masters/Figure_1.svg,940526,5e81f2f70cbbc751e3ad691360ed70b6f9850f4cf8344cbc7a7d2b6032659d27
artwork/masters/Figure_2.svg,685684,4209626a8d184cfe9038a810dd9e9284e2c762dd874dc4f22dc4a3145bace476
docs/GATE8_INTERNAL_README.md,10751,0299fde40fa95c248e0d11d3fd0286aa336fae7d0b9368fd35513f0adf2fb460
environment-lock.yml,285,986d1849422e3ccb1c307655b23c6ec01a86ac800c0c5bd108b10a69cdecec8f
figures/paper/figure_1_baseline_vs_adaptive_gain.png,459164,9dc6d30683c4d065092d51eca5e7edfd7f437c8e6ea628c3b30774e20191c835
figures/paper/figure_2_intervention_schematic.png,407950,581fa5108c3222a925fb5be8b24de278b11c467119a1a1a981b3dd3cff6e0a96
figures/paper/figure_3_main_decomposition_excess_over_control.png,914772,4b0a23abd800b5b09075bb340bed647b8a4a5e9fd699d7a2731cc013dbfb63ca
figures/paper/figure_4_gap_widening.png,447568,c716489a172a59f4c835216bcadb497b8c55457f6dd2e03759a81aae6467d7b8
figures/paper/figure_4_viability_definition_comparison.png,447568,c716489a172a59f4c835216bcadb497b8c55457f6dd2e03759a81aae6467d7b8
figures/paper/figure_4b_entropy_state_definitions.png,402319,4963bbe5183c5f864e70b1112c14fa2d87c96df684e5c529b991102c600a17a2
figures/paper/figure_5_frontiers_and_robustness.png,950601,0d0454f9998c563f07ee94fa327ba8c8144f85507af7067dc4b5c11dd46d1b34
figures/paper/supplement_frontiers.png,568070,6d4abd5a2a5c576f69d6815b0e2b9eeb2da65cd2246dff499ff2189cb0709e3c
figures/paper/supplement_method_ablation_no_kmeans_sensitivity.png,476072,2994726abf909ad5f19c29da2f78227466031ef4f393f4806b1cda0b607ed609
figures/paper/supplement_method_diagnostics.png,903116,db204362c543029435fa15fa1862717258d6761f528d21b12036e8c753912943
figures/paper/supplement_threshold_survival.png,308016,2da08335e985f3ccd948c9b0ef7dc7f796b2a27a14555726edbb39b1df10f615
notebooks/01_run_pipeline.ipynb,1389,a64b3a6f44c649c5b6e99ef1f79fffb5b891a14e2252a6e13aee4a5f2821ee42
notebooks/02_make_figures.ipynb,2651,2f86ee505159e5a6a91f95f12e53bb3e6da8ca8fd1e8be01f23c2cce0c320d72
notebooks/03_preview_figure_1.ipynb,194167,63d735eaededfbe4418cb2a296edcfc0b510cc2916172aadf2723e6c752b4e6b
notebooks/04_preview_figure_3.ipynb,360481,7723aa2a6f63e956d3eb563dda10a1d49565ee1194a56d3c763d35f707e27a89
notebooks/05_preview_figure_4.ipynb,177700,64e32b29f9ced4e3f710873f79faaa0a7d5fb3f20129fb9afc2ce4b169240caf
notebooks/06_preview_figure_4b.ipynb,155994,c118ee8b90bc7a9041d867c6727305a68f9395b5ebbc141df0f3ff10354d7b98
notebooks/07_preview_figure_5.ipynb,1270921,19456acf9a7c1a6fb5ca66b0751f67f654404ed4484f177c69d34b8a32d10b30
notebooks/08_preview_supplement_frontiers.ipynb,227425,dbe82c749ce49f0d3d7a38c3d2458ae2e0c0c4947234969599b2d63553639050
notebooks/09_preview_supplement_method_ablation.ipynb,192659,e3749623b007e72d1fa1bc7c5241894fc15ec6e5cc268c2142599f8f7e98b8c8
notebooks/10_preview_supplement_method_diagnostics.ipynb,347330,21a129df23e5bddab2af81d07e62f68482898d4d165f9fecade0db3d4f12b857
notebooks/11_preview_supplement_threshold_survival.ipynb,128194,69819c8e186bbfcfc0e48abcd4ce53812339bb90088745731cc8fd950468e715
publication_figures/exports/main/FIGURE_3_PUBLICATION_GRADE.eps,176909,25bc737665a30f534b8baf305e5f780d0bec104c88af4fe886e23e26296292be
publication_figures/exports/main/FIGURE_3_PUBLICATION_GRADE.pdf,70223,1c68f74b5bdec348ce6a4705d2add9974404b11207f8d02166584a4a8eb61a43
publication_figures/exports/main/FIGURE_3_PUBLICATION_GRADE.png,657793,7b97f885ea420d24352dcc683c69b18e4fb38bd4e571e963b0a9a346b406732d
publication_figures/exports/main/FIGURE_3_PUBLICATION_GRADE.svg,298623,93a2c8b1c859d4630ab0cdedd11face4d36f43966f42274b523c70b9ab8bf4af
publication_figures/exports/main/FIGURE_3_PUBLICATION_GRADE.tiff,904444,064c9c55f0d3aad60447f4d0dfc8d6d1bf5e0e714338039074ff094bd16898d8
publication_figures/exports/main/FIGURE_4_PUBLICATION_GRADE.eps,119828,f42ad92b21aef233c52b80aba98a25ee768c746812a52f44846ce2934a83f7ff
publication_figures/exports/main/FIGURE_4_PUBLICATION_GRADE.pdf,35852,03cd4805dafd692508ae4000c298732e68d3133a0da41bb83d59cfc79911b70c
publication_figures/exports/main/FIGURE_4_PUBLICATION_GRADE.png,423371,6766c4ffa01413f33c0f30e0575f7cc38eee0d0eb5acacfe82413191f1a799b4
publication_figures/exports/main/FIGURE_4_PUBLICATION_GRADE.svg,86866,f313f385dc6577b7e47002116c897c0668e91ac3907613a1759c18185528f7c4
publication_figures/exports/main/FIGURE_4_PUBLICATION_GRADE.tiff,734646,66226754b92df8a00013ad8a66a3fb301276f4cc3e3635e9609a00fcb9c5db82
publication_figures/exports/main/FIGURE_5_PUBLICATION_GRADE.eps,131617,aff4bf8f3f80d9de07788c62271aee5104043838fc63159856dd031c8a098920
publication_figures/exports/main/FIGURE_5_PUBLICATION_GRADE.pdf,35338,8b7449af6ed2024f1ddf77cfd4fa70d53f7a05c0842275f69d2d6b82649bf3d2
publication_figures/exports/main/FIGURE_5_PUBLICATION_GRADE.png,962084,d39fb653fa2e797a6bf3e6d27091e7af4cb2e8497a8aef79d960f8dfb8d825e0
publication_figures/exports/main/FIGURE_5_PUBLICATION_GRADE.svg,108374,b6e1ecac950193adfc305b364028ac3ea7a31a53e7af8ab9de668e0612315994
publication_figures/exports/main/FIGURE_5_PUBLICATION_GRADE.tiff,1150474,70227aa34071a8dc011a36f62de37aa4f781594939e08b7c8cb3d64c7f972226
publication_figures/exports/main/FIGURE_6_PUBLICATION_GRADE.eps,97280,e64aa1f6c5a90c2d9fc3727fe25158bc39957b6b8195b3dea406dd1e513782b1
publication_figures/exports/main/FIGURE_6_PUBLICATION_GRADE.pdf,29178,769ab3b721802eb796208ca225dfe88f9ce8148d146708e36f1d7666e016990b
publication_figures/exports/main/FIGURE_6_PUBLICATION_GRADE.png,361561,84be95a81c7fcf4fb90bed88e556be15609e6134c4285462a1d200dd5c82a216
publication_figures/exports/main/FIGURE_6_PUBLICATION_GRADE.svg,61360,75828cab86cc4200fc0e83c2a33d95ed7891404ffe48f6c200914d5336f05e77
publication_figures/exports/main/FIGURE_6_PUBLICATION_GRADE.tiff,600902,9e7af437b426f92050bac7cff9a8b89c900c39a8b0c010bef080a7ff317cee1f
publication_figures/exports/main/FIGURE_7_PUBLICATION_GRADE.eps,114558,a2c34412d7123bfba084dcaa4e9197f77bc0e17bd9f2948add6504283a6bd213
publication_figures/exports/main/FIGURE_7_PUBLICATION_GRADE.pdf,36051,c21746a7a7b078d73d8f12582a9dcba3b7914f123bd8ab9ff496dc05bf129c57
publication_figures/exports/main/FIGURE_7_PUBLICATION_GRADE.png,386136,7ce0af55a95b2b3bb27b37d588431e898f90a74fc2a54854f5c098b781e3625f
publication_figures/exports/main/FIGURE_7_PUBLICATION_GRADE.svg,62360,594a85eb2eff557398ceac394cf237e92341288e3392b5c578652e5147b1c6b1
publication_figures/exports/main/FIGURE_7_PUBLICATION_GRADE.tiff,569744,16f60a6b3891db07e83178e26aceb3ecacfd66a2f57afa5f095e663dfb6d8d6a
publication_figures/exports/main/FIGURE_8_PUBLICATION_GRADE.eps,110654,0aa64298da95899e287e50548bb56f72075257055baf5e825c6289bf95265fe5
publication_figures/exports/main/FIGURE_8_PUBLICATION_GRADE.pdf,32093,ce0710575d4f29172ae0f39b88f0578fe8e5e4e1f02cfad38b96dbef58ab3297
publication_figures/exports/main/FIGURE_8_PUBLICATION_GRADE.png,383361,ce1fd25745acb1bae2a5d39daf37ef7050a11b2ed1a2af5bf5b2497cbc4c714f
publication_figures/exports/main/FIGURE_8_PUBLICATION_GRADE.svg,70663,33684f75775a5f8f2e41be2738310e9cf34ec49f07d82ff0c063eddc535c0e35
publication_figures/exports/main/FIGURE_8_PUBLICATION_GRADE.tiff,620478,00d0bc1f1fde86efe02d2c1a5aa597ddd672386f0c9e20d91c54b7b811423fee
publication_figures/exports/main/PUBLICATION_GRADE_FIGURE_MANIFEST.csv,4486,c2d5d210124aa5668de593067e9c1bfdcde8b657a1c77fe8374dd8e36ecbee8a
publication_figures/exports/supplementary/FIGURE_S1_PUBLICATION_GRADE.eps,234629,7f0a40d7376d05ca0c0835da0e86c02b76ff4b708a49ba5733ec67e020f67fb1
publication_figures/exports/supplementary/FIGURE_S1_PUBLICATION_GRADE.pdf,67421,95eb3666ff3b5283d2c160e05f2c675978e1b1354892fde1399e4597c1626631
publication_figures/exports/supplementary/FIGURE_S1_PUBLICATION_GRADE.png,556968,5075fd5c4b77c4cb780a149290c70bf3bf47c5691bc50fa8c7ef9dc93b3d5c20
publication_figures/exports/supplementary/FIGURE_S1_PUBLICATION_GRADE.svg,244696,cc80021b4fb4d38d2c9e02bf4807d051164af677465869763c252faf50e34dd2
publication_figures/exports/supplementary/FIGURE_S1_PUBLICATION_GRADE.tiff,1004352,f305f6cb78586a287ef671ba776a8ccd0f535125240a98df3355a1ce37a2ba02
publication_figures/exports/supplementary/FIGURE_S2_PUBLICATION_GRADE.eps,135453,096d39740a7bebaa2e92073345d93777e0fb9a5d7eb4552559375b66ab251345
publication_figures/exports/supplementary/FIGURE_S2_PUBLICATION_GRADE.pdf,34621,bb89aa892660b699371008aacea97a764da0a36403cfa1989f1aa9d3f8387634
publication_figures/exports/supplementary/FIGURE_S2_PUBLICATION_GRADE.png,570735,34cc4410763a58c584d4a84c591aaacef54dd83824092da9e8ff58501efa758e
publication_figures/exports/supplementary/FIGURE_S2_PUBLICATION_GRADE.svg,126124,e4ce183e1d3fc35e620cf99d73eb4ca5eea71ad60a9dacfebf10f40c45028e14
publication_figures/exports/supplementary/FIGURE_S2_PUBLICATION_GRADE.tiff,952548,f33d803223c05bf58ee286c7c8f5b15b143482ee7795f4400126ed3336fc2216
publication_figures/exports/supplementary/FIGURE_S3_PUBLICATION_GRADE.eps,107494,4d2eceb2d4f03ccee5732c51de568e1d6ff16a20f81ae3f8cf6268468903a08d
publication_figures/exports/supplementary/FIGURE_S3_PUBLICATION_GRADE.pdf,41756,405e8695670fe60c1fc5bb3d48de03c2f992ea07d02347c65cfde4abf40f733e
publication_figures/exports/supplementary/FIGURE_S3_PUBLICATION_GRADE.png,187727,e81a6363c67bf4607c9aa7ebc1ecda8166bc3a9e0d9c7aff3dd9523936ff1f52
publication_figures/exports/supplementary/FIGURE_S3_PUBLICATION_GRADE.svg,135631,8774088a045dbf7c30399675018144c387ae16e0d49901bd8853d12635f177f4
publication_figures/exports/supplementary/FIGURE_S3_PUBLICATION_GRADE.tiff,353018,e5ee9f5cadaf530f9b73ab082db8e26d77a9334509a813d2945452f2c0c0fc50
publication_figures/exports/supplementary/FIGURE_S4_PUBLICATION_GRADE.eps,110498,ab144c752a8a531ba17c3a76e2de3a83789660fddab7dab594c1296b1fee1d0a
publication_figures/exports/supplementary/FIGURE_S4_PUBLICATION_GRADE.pdf,33955,46551857e8adf1fa14ab072a85271dbfe91e67b2c0a9abaaeef251746bb21c62
publication_figures/exports/supplementary/FIGURE_S4_PUBLICATION_GRADE.png,1251733,5081cc82eb6a6c93328069bc21194834b35063599a17425aba912fc2a1631b24
publication_figures/exports/supplementary/FIGURE_S4_PUBLICATION_GRADE.svg,102828,858c258b32f396c727c88b155b12d2c5cf62acb33bf6626179f788db7003174c
publication_figures/exports/supplementary/FIGURE_S4_PUBLICATION_GRADE.tiff,1159042,dd99667f6304530f6a9b0429deca4608ff49ad547c97cee9c03bb4946ff00481
publication_figures/exports/supplementary/FIGURE_S5_PUBLICATION_GRADE.eps,198137,62fb5208d1e94d443dc1a05f5f78b45d8b3b8c6c4cf32f82fcdc43ee0fee1e46
publication_figures/exports/supplementary/FIGURE_S5_PUBLICATION_GRADE.pdf,94682,7e86abec1fe8d9471cbcc897567bb4052bb9f94d33dd82c8836690a1b05f8cdf
publication_figures/exports/supplementary/FIGURE_S5_PUBLICATION_GRADE.png,650898,8248b7e198b6643337bbb27b02c59052acd3acb9be023aa7216dc8f59048960b
publication_figures/exports/supplementary/FIGURE_S5_PUBLICATION_GRADE.svg,150708,ee6d23821bde7807eeb0f5f0be88db0b25af5743f552ffcd8dab6bd4daf6e24f
publication_figures/exports/supplementary/FIGURE_S5_PUBLICATION_GRADE.tiff,1606498,af6deeff22e796b314bdfa9e4d2935f985fca581fd8d4b0f14cb89567eb22718
publication_figures/exports/supplementary/FIGURE_S5_SETTING_ORDER.csv,33844,a47332bff2af29e80bdf6201479cf6ce0980efefd69ba66da4a9b43ed727fb5e
publication_figures/exports/supplementary/FIGURE_S6_PUBLICATION_GRADE.eps,137505,51dfc1ead87ab62c6074cd7660e64963c9c98857424944d81db7892e5c3f2308
publication_figures/exports/supplementary/FIGURE_S6_PUBLICATION_GRADE.pdf,34560,1a52ddb57c41859bb0c35205f9cfabb4a24306d6f1788093c367c2a1a8199bb7
publication_figures/exports/supplementary/FIGURE_S6_PUBLICATION_GRADE.png,399542,e8b93719fd1bb41285481e2d26b3588c4352a02de7e74c45a2d9e26f19714e64
publication_figures/exports/supplementary/FIGURE_S6_PUBLICATION_GRADE.svg,89111,e1527efe35b356b9f5a8cbbaf384df30a209223ad8aac299bf93a2805f41af75
publication_figures/exports/supplementary/FIGURE_S6_PUBLICATION_GRADE.tiff,791034,397960a70d5b34f33ee6930a47f43762a6d1f3a5c68932e27cea3972fd7e409a
publication_figures/exports/supplementary/FIGURE_S7_PUBLICATION_GRADE.eps,114249,1c24b1327a71430c821e5b7cf3e1822434d640d20462348af89d472d3949b786
publication_figures/exports/supplementary/FIGURE_S7_PUBLICATION_GRADE.pdf,35169,f95f48a6e260884e6b65f7a2bad8ebd6e0e5198cdf4c687904318f313a2e3b3f
publication_figures/exports/supplementary/FIGURE_S7_PUBLICATION_GRADE.png,712037,82927b03d42640d825ca89e2a42d62d13f56e2bbac832452ba1d8200e0421d93
publication_figures/exports/supplementary/FIGURE_S7_PUBLICATION_GRADE.svg,84534,3c3392fd7504f5a74681d71988d19e1c0a8992a3fb0725722452c75562416ac0
publication_figures/exports/supplementary/FIGURE_S7_PUBLICATION_GRADE.tiff,1054618,dec226887c7387d65918d4d21f9872a361228c7426f9bd1a608b97a1b734a374
publication_figures/exports/supplementary/SUPPLEMENTARY_FIGURE_MANIFEST.csv,5291,a4899e7859b3de47cb78aa1735b3c444fdc538640a129e07e2268a72eb872f34
publication_figures/main/FIGURE_3_SOURCE_TRACEABILITY.md,2812,5e69d8dc7a946810e86b246bf49703c5e5a3a1d3691374647b8d93080994337a
publication_figures/main/FIGURE_4_SOURCE_TRACEABILITY.md,3163,7050462ef2b35afec30c2afedf148a556abf3f6dfb42e6be0a46349eec6f7c22
publication_figures/main/FIGURE_5_SOURCE_TRACEABILITY.md,2966,b0712c2c99f32049e65aca9bdfc7addbd965128c04c77cad328b73c8d885eef3
publication_figures/main/FIGURE_6_SOURCE_TRACEABILITY.md,2724,1d85cf878c3618372683cd476394e9e9671ab114961525fc9addfcc9dac0d6e7
publication_figures/main/FIGURE_7_SOURCE_TRACEABILITY.md,2248,0a3455f6cd0fbc6e71dbed816aa51371ef2175edd67995877ca45ce3ff232140
publication_figures/main/FIGURE_8_SOURCE_TRACEABILITY.md,3121,a0403aa0c91e1ce65010ca509713f806759a4465f57cbfbfea150064fbab6669
publication_figures/main/FROZEN_SOURCE_TABLE_HASH_VERIFICATION.csv,2162,ce3b8488cd6d8ef7fe2b6790cdee394e9533657db473358cecab7b5e775c6c5f
publication_figures/main/produce_publication_figures.py,46600,2ae3f9e7e5c1505e6b227fbbe32567dfa74312188340caee2dd451f1f4d031ec
publication_figures/source_tables/causal_specificity_contrasts.csv,1648,d825e7f63b65b26d25efb8f58c88ae16550277bfb51931357e1d859f4bc3a442
publication_figures/source_tables/causal_specificity_seed_blocks.csv,25029,34af9be570d21034729692110a9fa5678f1d4768bfba66d8eaa6f4b0f6a255b8
publication_figures/source_tables/core_frontier_points.csv,4668107,d301e23271ca087481fbfa1f3d8b4d909f58f0f78194667cc258e0f10bc7a251
publication_figures/source_tables/core_inference_records.csv,22949,0bc30784704e210ad2da076c344b1a244bfbe3b1415b1ab3a84c5b7f454a16e5
publication_figures/source_tables/core_information_replicates.csv,81448,4c4f9810188d206884cdb9aff95c7b5e1fcfa2da3adc79c83e878ba68b13b7a8
publication_figures/source_tables/core_semantic_replicates.csv,109266,d8096c9e04f657337485dd2e1ffced4d04412ed2150c1319c52095e6f7c9bc69
publication_figures/source_tables/generality_confirmatory_replicates.csv,7099,0c5f967225f319ad7b9b371e045b39dce9f41303ac4cfc35368ca30187cf40c6
publication_figures/source_tables/generality_confirmatory_summary.csv,483,4c3fa39d27e2239fb481306894e4b8c5d5b7a64102ea6f158d87d2b18f870bef
publication_figures/source_tables/generality_protocol_summary.csv,9787,fd74eac9a6b2c2c45fb0381029772e96992ba48e46a74e38c892d16abbc9286c
publication_figures/source_tables/generality_screen_replicates.csv,191457,7fa270f81c45c52103338c363b430c9aea99d76aea31d21da9dff9372e2569b4
publication_figures/source_tables/generality_screen_summary.csv,51817,b1bc2824bbbe25109f7a8fde34ac8165a032785d91a22514b9b5203c8356c1e1
publication_figures/supplementary/FIGURE_S1_SOURCE_TRACEABILITY.md,2671,457d71e7a1fffdb18aa21666aab9bcfba628958aad0430346825a9253c6e7f7f
publication_figures/supplementary/FIGURE_S2_SOURCE_TRACEABILITY.md,2432,3e30c494d3a8d663a00e18ba087411dbbf54887e1645cd97a70145c9ee52e1c6
publication_figures/supplementary/FIGURE_S3_SOURCE_TRACEABILITY.md,1821,ac90e4dfa9c101ca328249198cee8e367ea50f6bf03856a67ea82bf9269e9909
publication_figures/supplementary/FIGURE_S4_SOURCE_TRACEABILITY.md,1816,ba8247cc2ec819297773caeb4b81005f6a9bfc73646abe185a821953fc2a0b3f
publication_figures/supplementary/FIGURE_S5_SOURCE_TRACEABILITY.md,2024,66bb022147068fe352afd50186f1f7f250f7e4c416c421484df043568a612d7c
publication_figures/supplementary/FIGURE_S6_SOURCE_TRACEABILITY.md,1910,64d32aa42ac2735e3af04a54448b074c885ea901bd1f23305b16c62831d688d2
publication_figures/supplementary/FIGURE_S7_SOURCE_TRACEABILITY.md,2608,8af53cb8c5c1ceef737f0150629d1229bb089cdae5c1acb3248715b18690a1d7
publication_figures/supplementary/FROZEN_SOURCE_TABLE_HASH_VERIFICATION.csv,2162,ce3b8488cd6d8ef7fe2b6790cdee394e9533657db473358cecab7b5e775c6c5f
publication_figures/supplementary/produce_supplementary_figures.py,44198,11c1a2d7efe7dd74357ef18e36969d7fe17445587e35e73630d4a1eeb34f47e9
pyproject.toml,544,d276a00ca668ad3ddcb8524666ac7d667a15d689d34fa1170b1f0ecf1a9bf6ae
reproduction/CLEAN_ROOM_RERUN_RECORD.md,2047,cee794ad64fd79060032a5f1e8eb9ce2a6d59836a16b7aef89c41bb849eb1be6
reproduction/DATA_ACCESSIBILITY_TEXT_AFTER_DOI.md,1017,b4bba8cd258a531456993669cf5e75ba07cc9621d95bd667e29983180c856efc
reproduction/EXACT_COMMANDS.md,4106,3c450bcb77c94e0f091b3d2b695c50691ac5add9274ecbb06c7e60c9ccf0876f
reproduction/PUBLICATION_FIGURE_REGEN_HASH_COMPARISON.csv,4676,80be6d409ff76eed49848f0756f5f0eda3031dbaecb7d4a6ca6c9abaf25665dd
reproduction/PUBLICATION_FIGURE_VERIFICATION_PUBLIC_RELEASE_CANDIDATE.txt,255,00db84c34cf820c91c6694b7bacdd82645b6038e305eaafacbf43e8be89895cb
reproduction/PUBLICATION_STEPS.md,4709,f647920bbe991473d56e869e3ba0ba902325296dcf56707d6c5798ad33d1f5d1
reproduction/PUBLIC_RELEASE_CANDIDATE_VALIDATION.md,1521,7aed1d15f2a03af540394bae6bfca710a713d1a54edce07de7b86b707e68a650
reproduction/RESULT_FREEZE_VALIDATION_PUBLIC_RELEASE_CANDIDATE.txt,59,182c7eb5cc463deb18c8ba80dfdcaf1535672fc5a0f257acc26d318c27a3167e
